date,close,cash,shares,position_value,equity
2025-05-28,967.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-29,967.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-02,946.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-03,950.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-04,990.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-05,998.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-06,995.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-09,1005.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-10,1045.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-11,1065.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-12,1045.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-13,1030.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-16,1025.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-17,1045.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-18,1055.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-19,1035.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-20,1055.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-23,1020.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-24,1050.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-25,1070.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-26,1075.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-27,1080.0,950524.2714760001,0,0.0,950524.2714760001
2025-06-30,1060.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-01,1085.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-02,1085.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-03,1090.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-04,1085.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-07,1080.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-08,1080.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-09,1090.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-10,1100.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-11,1100.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-14,1095.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-15,1110.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-16,1130.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-17,1130.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-18,1155.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-21,1150.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-22,1130.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-23,1145.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-24,1145.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-25,1145.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-28,1145.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-29,1135.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-30,1155.0,950524.2714760001,0,0.0,950524.2714760001
2025-07-31,1160.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-04,1135.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-05,1150.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-06,1125.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-07,1180.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-08,1175.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-11,1180.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-12,1180.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-13,1200.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-14,1175.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-15,1180.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-18,1180.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-19,1185.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-20,1135.0,950524.2714760001,0,0.0,950524.2714760001
2025-08-21,1150.0,1099.4663110000547,824,947600.0,948699.466311
2025-08-22,1135.0,1099.4663110000547,824,935240.0,936339.466311
2025-08-25,1170.0,1099.4663110000547,824,964080.0,965179.466311
2025-08-26,1175.0,1099.4663110000547,824,968200.0,969299.466311
2025-08-27,1190.0,1099.4663110000547,824,980560.0,981659.466311
2025-08-28,1160.0,1099.4663110000547,824,955840.0,956939.466311
2025-08-29,1160.0,1099.4663110000547,824,955840.0,956939.466311
2025-09-01,1165.0,1099.4663110000547,824,959960.0,961059.466311
2025-09-02,1160.0,1099.4663110000547,824,955840.0,956939.466311
2025-09-03,1160.0,1099.4663110000547,824,955840.0,956939.466311
2025-09-04,1160.0,1099.4663110000547,824,955840.0,956939.466311
2025-09-05,1180.0,1099.4663110000547,824,972320.0,973419.466311
